lesson_title,total_guide_skills,matched_guide_skills,average_similarity,coverage_score
الأعداد ضمن 9999,6,6,0.889,1.0
الأعداد ضمن 99999,5,3,0.634,0.6
البيانات وتمثيلها بالصور,5,0,0.0,0.0
التقريب,11,9,0.858,0.818
الزاوية وأنواعها,5,0,0.348,0.0
الشعاع والمستقيم,4,1,0.639,0.25
الضرب في العشرات والمئات,5,5,0.847,1.0
القسمة (1),5,3,0.729,0.6
القسمة (2),5,5,0.789,1.0
القسمة على العدد 0,4,0,0.0,0.0
القيمة المنزلية,5,4,0.772,0.8
القيمة المنزلية والصورة الموسعة,5,5,0.864,1.0
الكسور,5,5,0.839,1.0
الكسور المتكافئة,5,5,0.795,1.0
المثلث,5,5,0.817,1.0
المجسمات,5,5,0.836,1.0
المحيط,5,5,0.82,1.0
المساحة,5,4,0.809,0.8
المستطيل والمربع,5,5,0.78,1.0
المقارنة بين الأعداد ضمن 9999,5,5,0.82,1.0
تمثيل البيانات بالجداول,5,5,0.839,1.0
جمع عددين ضمن 9999 دون حمل,4,1,0.731,0.25
جمع عددين ضمن 9999 مع الحمل,5,5,0.787,1.0
جمع عددين ضمن 99999,6,5,0.862,0.833
حقائق الضرب للعدد 2,5,5,0.846,1.0
حقائق الضرب للعدد 3,5,2,0.673,0.4
حقائق الضرب للعدد 4,5,4,0.712,0.8
حقائق الضرب للعدد 5,5,1,0.646,0.2
حقائق الضرب للعدد 6,5,2,0.682,0.4
حقائق الضرب للعدد 7,5,1,0.682,0.2
حقائق الضرب للعدد 8,5,5,0.814,1.0
حقائق الضرب للعدد 9,5,3,0.701,0.6
خصائص عملية الضرب,5,4,0.791,0.8
طرح عددين ضمن 9999 دون استلاف,4,4,0.864,1.0
طرح عددين ضمن 9999 مع الاستلاف,5,5,0.887,1.0
طرح عددين ضمن 99999,6,0,0.598,0.0
مقارنة الأعداد,5,0,0.0,0.0
مقارنة الكسور,5,5,0.864,1.0
وحدات قياس الزمن,5,2,0.792,0.4
وحدات قياس الطول,5,5,0.83,1.0
وحدات قياس الكتلة,5,4,0.793,0.8
